  PID  PPID  %CPU COMM
47373     1   0.0 /System/Library/PrivateFrameworks/MessagesBlastDoorSupport.framework/Versions/A/XPCServices/MessagesBlastDoorService.xpc/Contents/MacOS/MessagesBlastDoorService
47374     1   0.0 /usr/libexec/mlhostd
47375     1   0.0 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
47376     1   0.0 /System/Library/PrivateFrameworks/MediaConversionService.framework/Versions/A/XPCServices/com.apple.photos.ImageConversionService.xpc/Contents/MacOS/com.apple.photos.ImageConversionService
47377     1   0.0 /System/Library/PrivateFrameworks/MessagesBlastDoorSupport.framework/Versions/A/XPCServices/HubbleBlastDoorService.xpc/Contents/MacOS/HubbleBlastDoorService
47378     1   0.0 /System/Library/Frameworks/ClassKit.framework/Versions/A/progressd
47380     1   0.0 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
48752     1   0.0 /usr/libexec/betaenrollmentagent
50336     1   0.0 /opt/homebrew/Cellar/postgresql@16/16.14/bin/postgres
50337 50336   0.0 postgres: checkpointer 
50338 50336   0.0 postgres: background writer 
50340 50336   0.0 postgres: walwriter 
50341 50336   0.0 postgres: autovacuum launcher 
50342 50336   0.0 postgres: logical replication launcher 
50870     1   0.0 bash
50886 50870   0.0 target/debug/nostr-relay
50888 50336   0.0 postgres: christopherdavid nostr_relay_local 127.0.0.1(55227) idle
50889 50336   0.0 postgres: christopherdavid nostr_relay_local 127.0.0.1(55228) idle
50890 50336   0.0 postgres: christopherdavid nostr_relay_local 127.0.0.1(55229) idle
50891 50336   0.0 postgres: christopherdavid nostr_relay_local 127.0.0.1(55230) idle
50892 50336   0.0 postgres: christopherdavid nostr_relay_local 127.0.0.1(55231) idle
50893 50336   0.0 postgres: christopherdavid nostr_relay_local 127.0.0.1(55232) idle
51514     1   0.0 (World of Warcraf)
52030     1   0.0 /usr/libexec/trustd
52145     1   0.0 /System/Library/Frameworks/SystemExtensions.framework/Versions/A/Helpers/sysextd
52421     1   0.0 /System/Library/PrivateFrameworks/ToneLibrary.framework/Versions/A/XPCServices/com.apple.tonelibraryd.xpc/Contents/MacOS/com.apple.tonelibraryd
53498     1   0.0 /usr/libexec/asktod
